Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nick Singleton,RB,Governor Mifflin,Reading,PA,6,0.0,210,0.986,Alabama,2022,31.0,1.0,1.0,5,Penn State,//247sports.com/player/nick-singleton-46084442
Emmanuel Henderson,RB,Geneva County,Hartford,AL,6,1.0,185,0.981,Alabama,2022,40.0,2.0,2.0,4,Alabama,//247sports.com/player/emmanuel-henderson-46095004
Raleek Brown,RB,Mater Dei,Santa Ana,CA,5,8.0,185,0.9808,Alabama,2022,42.0,3.0,2.0,4,USC,//247sports.com/player/raleek-brown-46053600
Branson Robinson,RB,Germantown,Madison,MS,5,10.0,220,0.9729,Alabama,2022,62.0,4.0,1.0,4,Georgia,//247sports.com/player/branson-robinson-46099865
Le'Veon Moss,RB,Istrouma,Baton Rouge,LA,6,0.0,190,0.9652,Alabama,2022,82.0,5.0,7.0,4,Texas A&M,//247sports.com/player/leveon-moss-46082704
Jamarion Miller,RB,Tyler Legacy,Tyler,TX,5,10.0,195,0.9629,Alabama,2022,87.0,6.0,15.0,4,Alabama,//247sports.com/player/jamarion-miller-46058624
Gavin Sawchuk,RB,Valor Christian,Littleton,CO,5,11.0,185,0.9584,Alabama,2022,98.0,7.0,1.0,4,Oklahoma,//247sports.com/player/gavin-sawchuk-46080732
George Pettaway,RB,Nansemond-Suffolk Academy,Suffolk,VA,5,11.0,190,0.9582,Alabama,2022,99.0,8.0,4.0,4,North Carolina,//247sports.com/player/george-pettaway-46085745
Jovantae Barnes,RB,Desert Pines,Las Vegas,NV,6,0.0,190,0.9532,Alabama,2022,115.0,10.0,3.0,4,Oklahoma,//247sports.com/player/jovantae-barnes-46094222
Kaytron Allen,RB,IMG Academy,Bradenton,FL,5,11.0,220,0.9385,Alabama,2022,155.0,12.0,19.0,4,Penn State,//247sports.com/player/kaytron-allen-46079018
Tavorus Jones,RB,Burges,El Paso,TX,5,10.0,195,0.9319,Alabama,2022,169.0,13.0,26.0,4,Missouri,//247sports.com/player/tavorus-jones-46101298
Trevor Etienne,RB,Jennings,Jennings,LA,5,9.0,218,0.9261,Alabama,2022,189.0,14.0,14.0,4,Florida,//247sports.com/player/trevor-etienne-46084031
Jaydon Blue,RB,Klein Cain,Houston,TX,5,11.5,205,0.9226,Alabama,2022,195.0,15.0,31.0,4,Texas,//247sports.com/player/jaydon-blue-46085418
Jordan James,RB,Oakland,Murfreesboro,TN,5,10.0,205,0.9224,Alabama,2022,196.0,16.0,4.0,4,Oregon,//247sports.com/player/jordan-james-46081798
Gi'Bran Payne,RB,LaSalle,Cincinnati,OH,5,10.0,190,0.9036,Alabama,2022,278.0,22.0,10.0,4,Notre Dame,//247sports.com/player/gibran-payne-46094135
Antonio Martin,RB,Langston Hughes,Fairburn,GA,5,11.0,205,0.8976,Alabama,2022,314.0,28.0,28.0,4,Georgia Tech,//247sports.com/player/antonio-martin-46095019
Terrance Gibbs,RB,Winter Park,Winter Park,FL,6,0.0,190,0.8966,Alabama,2022,322.0,29.0,37.0,4,Georgia Southern,//247sports.com/player/terrance-gibbs-46056841
Damari Alston,RB,Woodward Academy,Atlanta,GA,5,10.0,205,0.8955,Alabama,2022,342.0,32.0,31.0,4,Auburn,//247sports.com/player/damari-alston-46079847
Jaziun Patterson,RB,Deerfield Beach,Deerfield Beach,FL,5,10.5,190,0.8709,Alabama,2022,667.0,53.0,91.0,3,Iowa,//247sports.com/player/jaziun-patterson-46081922
Kedrick Debron,RB,Gadsden County,Havana,FL,6,0.0,200,0.8175,Alabama,2022,,137.0,249.0,3,,//247sports.com/player/kedrick-debron-46098215
Luther Burden,WR,East St. Louis,East Saint Louis,IL,6,0.0,200,0.9974,Alabama,2022,3.0,1.0,1.0,5,Missouri,//247sports.com/player/luther-burden-46058915
Evan Stewart,WR,Liberty,Frisco,TX,6,0.0,175,0.994,Alabama,2022,11.0,2.0,4.0,5,Texas A&M,//247sports.com/player/evan-stewart-46096676
Chris Marshall,WR,Fort Bend Marshall,Missouri City,TX,6,3.0,195,0.9886,Alabama,2022,25.0,3.0,7.0,5,Texas A&M,//247sports.com/player/chris-marshall-46110458
Aaron Anderson,WR,Edna Karr,New Orleans,LA,5,9.0,185,0.9832,Alabama,2022,35.0,4.0,1.0,4,Alabama,//247sports.com/player/aaron-anderson-46093790
Kevin Coleman,WR,St. Mary's,Saint Louis,MO,5,11.0,170,0.9773,Alabama,2022,54.0,6.0,1.0,4,Jackson State,//247sports.com/player/kevin-coleman-46058557
Kaden Saunders,WR,Westerville South,Westerville,OH,5,10.0,172,0.977,Alabama,2022,55.0,7.0,4.0,4,Penn State,//247sports.com/player/kaden-saunders-46081196
Shazz Preston,WR,St. James,Saint James,LA,6,0.0,190,0.9768,Alabama,2022,56.0,8.0,5.0,4,Alabama,//247sports.com/player/shazz-preston-46078814
C.J. Williams,WR,Mater Dei,Santa Ana,CA,6,2.0,193,0.9707,Alabama,2022,73.0,10.0,6.0,4,USC,//247sports.com/player/c-j-williams-46082278
Kobe Prentice,WR,Calera,Calera,AL,5,10.0,171,0.9687,Alabama,2022,78.0,12.0,5.0,4,Alabama,//247sports.com/player/kobe-prentice-46111989
Kaleb Brown,WR,St. Rita,Chicago,IL,5,10.5,195,0.9685,Alabama,2022,79.0,13.0,2.0,4,Ohio State,//247sports.com/player/kaleb-brown-46080140
Jordan Hudson,WR,Garland,Garland,TX,6,1.0,180,0.9595,Alabama,2022,92.0,15.0,17.0,4,TCU,//247sports.com/player/jordan-hudson-46097244
Barion Brown,WR,Pearl-Cohn,Nashville,TN,6,1.0,173,0.9587,Alabama,2022,97.0,16.0,3.0,4,Kentucky,//247sports.com/player/barion-brown-46096621
Brenen Thompson,WR,Spearman,Spearman,TX,5,10.0,165,0.9476,Alabama,2022,131.0,20.0,21.0,4,Texas,//247sports.com/player/brenen-thompson-46100208
Caleb Burton,WR,Lake Travis,Austin,TX,6,0.0,165,0.9465,Alabama,2022,132.0,21.0,22.0,4,Ohio State,//247sports.com/player/caleb-burton-46076668
Darrius Clemons,WR,Westview,Portland,OR,6,3.0,205,0.9422,Alabama,2022,144.0,24.0,1.0,4,Michigan,//247sports.com/player/darrius-clemons-46058500
Kojo Antwi,WR,Lambert,Suwanee,GA,6,0.0,190,0.94,Alabama,2022,151.0,26.0,17.0,4,Ohio State,//247sports.com/player/kojo-antwi-46099884
Tychaun Chapman,WR,Landstown,Virginia Beach,VA,5,9.0,172,0.9233,Alabama,2022,194.0,28.0,6.0,4,North Carolina,//247sports.com/player/tychaun-chapman-46086347
Armani Winfield,WR,Lewisville,Lewisville,TX,6,2.0,180,0.9178,Alabama,2022,209.0,30.0,34.0,4,Baylor,//247sports.com/player/armani-winfield-46056649
Chandler Smith,WR,Mt. Dora,Mount Dora,FL,6,1.0,180,0.9135,Alabama,2022,227.0,33.0,26.0,4,Georgia,//247sports.com/player/chandler-smith-46101140
