Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dallan Hayden,RB,Christian Brothers,Memphis,TN,"
                                            5",11 ," 195
                                        ",0.9,Illinois,2022,299.0,26.0,9.0,4,Ohio State,//247sports.com/player/dallan-hayden-46057710
Arlen Harris Jr.,RB,Lutheran Of St Charles County,Saint Peters,MO,"
                                            5",11 ," 189
                                        ",0.8985,Illinois,2022,306.0,27.0,8.0,4,Stanford,//247sports.com/player/arlen-harris-jr-46076710
Ali Wells,RB,East St. Louis,East Saint Louis,IL,"
                                            5",11 ," 170
                                        ",0.8588,Illinois,2022,950.0,72.0,21.0,3,Murray State,//247sports.com/player/ali-wells-46059019
Jordan Anderson,RB,Joliet Catholic Academy,Joliet,IL,"
                                            6",3 ," 215
                                        ",0.8552,Illinois,2022,,81.0,22.0,3,Illinois,//247sports.com/player/jordan-anderson-46096709
Luther Burden,WR,East St. Louis,East Saint Louis,IL,"
                                            6",0 ," 200
                                        ",0.9974,Illinois,2022,3.0,1.0,1.0,5,Missouri,//247sports.com/player/luther-burden-46058915
Kevin Coleman,WR,St. Mary's,Saint Louis,MO,"
                                            5",11 ," 170
                                        ",0.9773,Illinois,2022,54.0,6.0,1.0,4,Jackson State,//247sports.com/player/kevin-coleman-46058557
Kaden Saunders,WR,Westerville South,Westerville,OH,"
                                            5",10 ," 172
                                        ",0.977,Illinois,2022,55.0,7.0,4.0,4,Penn State,//247sports.com/player/kaden-saunders-46081196
Kaleb Brown,WR,St. Rita,Chicago,IL,"
                                            5",10.5 ," 195
                                        ",0.9685,Illinois,2022,79.0,13.0,2.0,4,Ohio State,//247sports.com/player/kaleb-brown-46080140
Tyler Morris,WR,Nazareth Academy,La Grange Park,IL,"
                                            6",0 ," 175
                                        ",0.9462,Illinois,2022,133.0,22.0,4.0,4,Michigan,//247sports.com/player/tyler-morris-46080144
Reggie Fleurima,WR,Naperville Central,Naperville,IL,"
                                            6",2 ," 200
                                        ",0.9111,Illinois,2022,238.0,37.0,7.0,4,Northwestern,//247sports.com/player/reggie-fleurima-46084905
Omar Cooper,WR,Lawrence North,Indianapolis,IN,"
                                            6",1 ," 185
                                        ",0.8973,Illinois,2022,315.0,44.0,9.0,4,Indiana,//247sports.com/player/omar-cooper-46094190
